id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_pencari_kerja;satuan;tahun
152;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1000;ORANG;2023
153;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;2217;ORANG;2023
154;32;JAWA BARAT;3271;KOTA BOGOR;3720;ORANG;2023
155;32;JAWA BARAT;3272;KOTA SUKABUMI;2317;ORANG;2023
156;32;JAWA BARAT;3273;KOTA BANDUNG;14494;ORANG;2023
157;32;JAWA BARAT;3274;KOTA CIREBON;1692;ORANG;2023
158;32;JAWA BARAT;3275;KOTA BEKASI;9913;ORANG;2023
159;32;JAWA BARAT;3276;KOTA DEPOK;4756;ORANG;2023
160;32;JAWA BARAT;3277;KOTA CIMAHI;2047;ORANG;2023
161;32;JAWA BARAT;3278;KOTA TASIKMALAYA;3127;ORANG;2023
162;32;JAWA BARAT;3279;KOTA BANJAR;1638;ORANG;2023
163;32;JAWA BARAT;3201;KABUPATEN BOGOR;3690;ORANG;2024
164;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;9039;ORANG;2024
165;32;JAWA BARAT;3203;KABUPATEN CIANJUR;1198;ORANG;2024
166;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3792;ORANG;2024
167;32;JAWA BARAT;3205;KABUPATEN GARUT;11756;ORANG;2024
168;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;5078;ORANG;2024
169;32;JAWA BARAT;3207;KABUPATEN CIAMIS;4046;ORANG;2024
170;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;6161;ORANG;2024
171;32;JAWA BARAT;3209;KABUPATEN CIREBON;19646;ORANG;2024
172;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1117;ORANG;2024
173;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;4673;ORANG;2024
174;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;11746;ORANG;2024
175;32;JAWA BARAT;3213;KABUPATEN SUBANG;13493;ORANG;2024
176;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;9039;ORANG;2024
177;32;JAWA BARAT;3215;KABUPATEN KARAWANG;3311;ORANG;2024
178;32;JAWA BARAT;3216;KABUPATEN BEKASI;4271;ORANG;2024
179;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1961;ORANG;2024
180;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;900;ORANG;2024
181;32;JAWA BARAT;3271;KOTA BOGOR;598;ORANG;2024
182;32;JAWA BARAT;3272;KOTA SUKABUMI;1457;ORANG;2024
183;32;JAWA BARAT;3273;KOTA BANDUNG;1113;ORANG;2024
184;32;JAWA BARAT;3274;KOTA CIREBON;1036;ORANG;2024
185;32;JAWA BARAT;3275;KOTA BEKASI;1937;ORANG;2024
186;32;JAWA BARAT;3276;KOTA DEPOK;1018;ORANG;2024
187;32;JAWA BARAT;3277;KOTA CIMAHI;355;ORANG;2024
188;32;JAWA BARAT;3278;KOTA TASIKMALAYA;644;ORANG;2024
189;32;JAWA BARAT;3279;KOTA BANJAR;925;ORANG;2024
