id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_lowongan_kerja;satuan;tahun
91;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1879;LOWONGAN KERJA;2021
92;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;6062;LOWONGAN KERJA;2021
93;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;992;LOWONGAN KERJA;2021
94;32;JAWA BARAT;3213;KABUPATEN SUBANG;6674;LOWONGAN KERJA;2021
95;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;6522;LOWONGAN KERJA;2021
96;32;JAWA BARAT;3215;KABUPATEN KARAWANG;12496;LOWONGAN KERJA;2021
97;32;JAWA BARAT;3216;KABUPATEN BEKASI;10027;LOWONGAN KERJA;2021
98;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;654;LOWONGAN KERJA;2021
99;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;1803;LOWONGAN KERJA;2021
100;32;JAWA BARAT;3271;KOTA BOGOR;1681;LOWONGAN KERJA;2021
101;32;JAWA BARAT;3272;KOTA SUKABUMI;2606;LOWONGAN KERJA;2021
102;32;JAWA BARAT;3273;KOTA BANDUNG;9900;LOWONGAN KERJA;2021
103;32;JAWA BARAT;3274;KOTA CIREBON;1844;LOWONGAN KERJA;2021
104;32;JAWA BARAT;3275;KOTA BEKASI;10107;LOWONGAN KERJA;2021
105;32;JAWA BARAT;3276;KOTA DEPOK;715;LOWONGAN KERJA;2021
106;32;JAWA BARAT;3277;KOTA CIMAHI;1489;LOWONGAN KERJA;2021
107;32;JAWA BARAT;3278;KOTA TASIKMALAYA;1397;LOWONGAN KERJA;2021
108;32;JAWA BARAT;3279;KOTA BANJAR;1836;LOWONGAN KERJA;2021
109;32;JAWA BARAT;3201;KABUPATEN BOGOR;1098;LOWONGAN KERJA;2022
110;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;6886;LOWONGAN KERJA;2022
111;32;JAWA BARAT;3203;KABUPATEN CIANJUR;8501;LOWONGAN KERJA;2022
112;32;JAWA BARAT;3204;KABUPATEN BANDUNG;13353;LOWONGAN KERJA;2022
113;32;JAWA BARAT;3205;KABUPATEN GARUT;11265;LOWONGAN KERJA;2022
114;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1725;LOWONGAN KERJA;2022
115;32;JAWA BARAT;3207;KABUPATEN CIAMIS;9197;LOWONGAN KERJA;2022
116;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;12032;LOWONGAN KERJA;2022
117;32;JAWA BARAT;3209;KABUPATEN CIREBON;21122;LOWONGAN KERJA;2022
118;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;3208;LOWONGAN KERJA;2022
119;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;5905;LOWONGAN KERJA;2022
120;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;8351;LOWONGAN KERJA;2022
121;32;JAWA BARAT;3213;KABUPATEN SUBANG;8745;LOWONGAN KERJA;2022
122;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;1811;LOWONGAN KERJA;2022
123;32;JAWA BARAT;3215;KABUPATEN KARAWANG;9790;LOWONGAN KERJA;2022
124;32;JAWA BARAT;3216;KABUPATEN BEKASI;2293;LOWONGAN KERJA;2022
125;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;132;LOWONGAN KERJA;2022
126;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;2160;LOWONGAN KERJA;2022
127;32;JAWA BARAT;3271;KOTA BOGOR;2939;LOWONGAN KERJA;2022
128;32;JAWA BARAT;3272;KOTA SUKABUMI;1392;LOWONGAN KERJA;2022
129;32;JAWA BARAT;3273;KOTA BANDUNG;13013;LOWONGAN KERJA;2022
130;32;JAWA BARAT;3274;KOTA CIREBON;1845;LOWONGAN KERJA;2022
131;32;JAWA BARAT;3275;KOTA BEKASI;10879;LOWONGAN KERJA;2022
132;32;JAWA BARAT;3276;KOTA DEPOK;5994;LOWONGAN KERJA;2022
133;32;JAWA BARAT;3277;KOTA CIMAHI;2340;LOWONGAN KERJA;2022
