id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;pendidikan;jumlah_pengangguran;satuan;tahun
978;32;JAWA BARAT;3274;KOTA CIREBON;SMA;6421;ORANG;2019
979;32;JAWA BARAT;3274;KOTA CIREBON;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;2088;ORANG;2019
980;32;JAWA BARAT;3275;KOTA BEKASI;SD KE BAWAH;9086;ORANG;2019
981;32;JAWA BARAT;3275;KOTA BEKASI;SMP;16781;ORANG;2019
982;32;JAWA BARAT;3275;KOTA BEKASI;SMA;66847;ORANG;2019
983;32;JAWA BARAT;3275;KOTA BEKASI;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;31400;ORANG;2019
984;32;JAWA BARAT;3276;KOTA DEPOK;SD KE BAWAH;8986;ORANG;2019
985;32;JAWA BARAT;3276;KOTA DEPOK;SMP;12796;ORANG;2019
986;32;JAWA BARAT;3276;KOTA DEPOK;SMA;40719;ORANG;2019
987;32;JAWA BARAT;3276;KOTA DEPOK;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;9824;ORANG;2019
988;32;JAWA BARAT;3277;KOTA CIMAHI;SD KE BAWAH;2362;ORANG;2019
989;32;JAWA BARAT;3277;KOTA CIMAHI;SMP;3156;ORANG;2019
990;32;JAWA BARAT;3277;KOTA CIMAHI;SMA;14269;ORANG;2019
991;32;JAWA BARAT;3277;KOTA CIMAHI;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;4173;ORANG;2019
992;32;JAWA BARAT;3278;KOTA TASIKMALAYA;SD KE BAWAH;4462;ORANG;2019
993;32;JAWA BARAT;3278;KOTA TASIKMALAYA;SMP;3465;ORANG;2019
994;32;JAWA BARAT;3278;KOTA TASIKMALAYA;SMA;12221;ORANG;2019
995;32;JAWA BARAT;3278;KOTA TASIKMALAYA;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;1658;ORANG;2019
996;32;JAWA BARAT;3279;KOTA BANJAR;SD KE BAWAH;1104;ORANG;2019
997;32;JAWA BARAT;3279;KOTA BANJAR;SMP;754;ORANG;2019
998;32;JAWA BARAT;3279;KOTA BANJAR;SMA;3696;ORANG;2019
999;32;JAWA BARAT;3279;KOTA BANJAR;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;218;ORANG;2019
1000;32;JAWA BARAT;3201;KABUPATEN BOGOR;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;14788;ORANG;2020
1001;32;JAWA BARAT;3201;KABUPATEN BOGOR;SD;67522;ORANG;2020
1002;32;JAWA BARAT;3201;KABUPATEN BOGOR;SMP;72817;ORANG;2020
1003;32;JAWA BARAT;3201;KABUPATEN BOGOR;SMA (UMUM);75799;ORANG;2020
1004;32;JAWA BARAT;3201;KABUPATEN BOGOR;SMA (KEJURUAN);119828;ORANG;2020
1005;32;JAWA BARAT;3201;KABUPATEN BOGOR;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;39977;ORANG;2020
1006;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;2697;ORANG;2020
1007;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;SD;27546;ORANG;2020
1008;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;SMP;30293;ORANG;2020
1009;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;SMA (UMUM);29303;ORANG;2020
1010;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;SMA (KEJURUAN);14473;ORANG;2020
1011;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;5786;ORANG;2020
1012;32;JAWA BARAT;3203;KABUPATEN CIANJUR;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;4934;ORANG;2020
1013;32;JAWA BARAT;3203;KABUPATEN CIANJUR;SD;42686;ORANG;2020
1014;32;JAWA BARAT;3203;KABUPATEN CIANJUR;SMP;30918;ORANG;2020
1015;32;JAWA BARAT;3203;KABUPATEN CIANJUR;SMA (UMUM);24505;ORANG;2020
1016;32;JAWA BARAT;3203;KABUPATEN CIANJUR;SMA (KEJURUAN);24631;ORANG;2020
1017;32;JAWA BARAT;3203;KABUPATEN CIANJUR;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;3342;ORANG;2020
1018;32;JAWA BARAT;3204;KABUPATEN BANDUNG;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;0;ORANG;2020
1019;32;JAWA BARAT;3204;KABUPATEN BANDUNG;SD;20621;ORANG;2020
1020;32;JAWA BARAT;3204;KABUPATEN BANDUNG;SMP;39856;ORANG;2020
1021;32;JAWA BARAT;3204;KABUPATEN BANDUNG;SMA (UMUM);42656;ORANG;2020
1022;32;JAWA BARAT;3204;KABUPATEN BANDUNG;SMA (KEJURUAN);28089;ORANG;2020
