id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;garis_kemiskinan;satuan;tahun
482;32;JAWA BARAT;3275;KOTA BEKASI;692885;RUPIAH/KAPITA/BULAN;2021
483;32;JAWA BARAT;3276;KOTA DEPOK;705084;RUPIAH/KAPITA/BULAN;2021
484;32;JAWA BARAT;3277;KOTA CIMAHI;522281;RUPIAH/KAPITA/BULAN;2021
485;32;JAWA BARAT;3278;KOTA TASIKMALAYA;480341;RUPIAH/KAPITA/BULAN;2021
486;32;JAWA BARAT;3279;KOTA BANJAR;357210;RUPIAH/KAPITA/BULAN;2021
487;32;JAWA BARAT;3201;KABUPATEN BOGOR;443787;RUPIAH/KAPITA/BULAN;2022
488;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;357636;RUPIAH/KAPITA/BULAN;2022
489;32;JAWA BARAT;3203;KABUPATEN CIANJUR;406829;RUPIAH/KAPITA/BULAN;2022
490;32;JAWA BARAT;3204;KABUPATEN BANDUNG;398884;RUPIAH/KAPITA/BULAN;2022
491;32;JAWA BARAT;3205;KABUPATEN GARUT;335134;RUPIAH/KAPITA/BULAN;2022
492;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;347917;RUPIAH/KAPITA/BULAN;2022
493;32;JAWA BARAT;3207;KABUPATEN CIAMIS;405294;RUPIAH/KAPITA/BULAN;2022
494;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;371665;RUPIAH/KAPITA/BULAN;2022
495;32;JAWA BARAT;3209;KABUPATEN CIREBON;416914;RUPIAH/KAPITA/BULAN;2022
496;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;483319;RUPIAH/KAPITA/BULAN;2022
497;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;371870;RUPIAH/KAPITA/BULAN;2022
498;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;499805;RUPIAH/KAPITA/BULAN;2022
499;32;JAWA BARAT;3213;KABUPATEN SUBANG;372308;RUPIAH/KAPITA/BULAN;2022
500;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;403663;RUPIAH/KAPITA/BULAN;2022
501;32;JAWA BARAT;3215;KABUPATEN KARAWANG;521158;RUPIAH/KAPITA/BULAN;2022
502;32;JAWA BARAT;3216;KABUPATEN BEKASI;579221;RUPIAH/KAPITA/BULAN;2022
503;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;393956;RUPIAH/KAPITA/BULAN;2022
504;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;411174;RUPIAH/KAPITA/BULAN;2022
505;32;JAWA BARAT;3271;KOTA BOGOR;608949;RUPIAH/KAPITA/BULAN;2022
506;32;JAWA BARAT;3272;KOTA SUKABUMI;594118;RUPIAH/KAPITA/BULAN;2022
507;32;JAWA BARAT;3273;KOTA BANDUNG;545675;RUPIAH/KAPITA/BULAN;2022
508;32;JAWA BARAT;3274;KOTA CIREBON;485613;RUPIAH/KAPITA/BULAN;2022
509;32;JAWA BARAT;3275;KOTA BEKASI;731392;RUPIAH/KAPITA/BULAN;2022
510;32;JAWA BARAT;3276;KOTA DEPOK;744771;RUPIAH/KAPITA/BULAN;2022
511;32;JAWA BARAT;3277;KOTA CIMAHI;549450;RUPIAH/KAPITA/BULAN;2022
512;32;JAWA BARAT;3278;KOTA TASIKMALAYA;498711;RUPIAH/KAPITA/BULAN;2022
513;32;JAWA BARAT;3279;KOTA BANJAR;373510;RUPIAH/KAPITA/BULAN;2022
514;32;JAWA BARAT;3201;KABUPATEN BOGOR;482174;RUPIAH/KAPITA/BULAN;2023
515;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;392705;RUPIAH/KAPITA/BULAN;2023
516;32;JAWA BARAT;3203;KABUPATEN CIANJUR;437327;RUPIAH/KAPITA/BULAN;2023
517;32;JAWA BARAT;3204;KABUPATEN BANDUNG;426069;RUPIAH/KAPITA/BULAN;2023
518;32;JAWA BARAT;3205;KABUPATEN GARUT;367681;RUPIAH/KAPITA/BULAN;2023
519;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;378958;RUPIAH/KAPITA/BULAN;2023
520;32;JAWA BARAT;3207;KABUPATEN CIAMIS;442108;RUPIAH/KAPITA/BULAN;2023
521;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;402767;RUPIAH/KAPITA/BULAN;2023
522;32;JAWA BARAT;3209;KABUPATEN CIREBON;451853;RUPIAH/KAPITA/BULAN;2023
523;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;520713;RUPIAH/KAPITA/BULAN;2023
524;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;396573;RUPIAH/KAPITA/BULAN;2023
525;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;532545;RUPIAH/KAPITA/BULAN;2023
526;32;JAWA BARAT;3213;KABUPATEN SUBANG;404320;RUPIAH/KAPITA/BULAN;2023
527;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;434187;RUPIAH/KAPITA/BULAN;2023
528;32;JAWA BARAT;3215;KABUPATEN KARAWANG;555889;RUPIAH/KAPITA/BULAN;2023
529;32;JAWA BARAT;3216;KABUPATEN BEKASI;632811;RUPIAH/KAPITA/BULAN;2023
530;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;426355;RUPIAH/KAPITA/BULAN;2023
